point_id,dataset_id,dataset_version,lifecycle,series_id,case_id,metric,sample_phase,impact_angle_degrees,incident_speed_m_s,expected,unit,standard_uncertainty,source_locator,normalized_path,normalized_sha256,raw_extracted_path,raw_extracted_sha256
ball_ball_e_head_on,sudo_2002,1.0.0,spent,sudo_ball_collision,ball_ball_e_head_on,ball_ball_normal_restitution,immediate_post_impact,30,0.98,0.897,dimensionless,0.01,"PDF p.3 / article p.155, ball-to-ball collision paragraph",tests/physics_validation/reference_data/sudo_2002/normalized.csv,sha256:d520f588ece441234044cf98198eb0807eda1a5b17a0435a57693ba3376bd424,tests/physics_validation/reference_data/sudo_2002/raw_extracted.csv,sha256:ad55353fd502273384ee53d498d465e05c0921c37885351cd0e221c00f979bcf
billiard_alpha1_001,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_001,cue_scattering_angle_degrees,immediate_post_impact,8.043206,0.8,73.81045,degree,0.11991770374823729,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
billiard_alpha1_002,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_002,cue_scattering_angle_degrees,immediate_post_impact,9.665953,0.8,72.387032,degree,0.12042372364281052,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
billiard_alpha1_003,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_003,cue_scattering_angle_degrees,immediate_post_impact,10.835935,0.8,75.164693,degree,0.12724484484744364,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
billiard_alpha1_004,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_004,cue_scattering_angle_degrees,immediate_post_impact,11.712595,0.8,72.460006,degree,0.1099593105835063,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
billiard_alpha1_005,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_005,cue_scattering_angle_degrees,immediate_post_impact,13.626651,0.8,73.763332,degree,0.10180143133694143,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
billiard_alpha1_006,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_006,cue_scattering_angle_degrees,immediate_post_impact,15.359168,0.8,71.366279,degree,0.1106957240016524,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
billiard_alpha1_007,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_007,cue_scattering_angle_degrees,immediate_post_impact,17.177087,0.8,67.507102,degree,0.1094559546849782,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
billiard_alpha1_008,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_008,cue_scattering_angle_degrees,immediate_post_impact,17.182834,0.8,70.45535,degree,0.11951006386074774,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
billiard_alpha1_009,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_009,cue_scattering_angle_degrees,immediate_post_impact,19.118526,0.8,68.799862,degree,0.10047166852401727,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
billiard_alpha1_010,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_010,cue_scattering_angle_degrees,immediate_post_impact,20.945000,0.8,63.842467,degree,0.10020831185086396,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
billiard_alpha1_011,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_011,cue_scattering_angle_degrees,immediate_post_impact,22.776647,0.8,66.326035,degree,0.10083650371889141,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
