case_id,dataset_id,dataset_version,expected,friction_coefficient,incident_speed_m_s,impact_angle_degrees,kinetic_energy_after_j,kinetic_energy_before_j,lifecycle,metric,normal_restitution,normal_impulse_ns,normalized_path,normalized_sha256,normalized_residual,point_id,predicted,raw_extracted_path,raw_extracted_sha256,regime,sample_phase,series_id,source_locator,standard_uncertainty,tangential_impulse_ns,unit,series_mean_squared_normalized_residual
ball_ball_e_head_on,sudo_2002,1.0.0,0.897,0.1,0.98,30.0,0.6041719412797344,0.67228,spent,ball_ball_normal_restitution,0.97,0.8359743222731187,tests/physics_validation/reference_data/sudo_2002/normalized.csv,sha256:d520f588ece441234044cf98198eb0807eda1a5b17a0435a57693ba3376bd424,7.299999999999995,ball_ball_e_head_on,0.97,tests/physics_validation/reference_data/sudo_2002/raw_extracted.csv,sha256:ad55353fd502273384ee53d498d465e05c0921c37885351cd0e221c00f979bcf,sliding,immediate_post_impact,sudo_ball_collision,"PDF p.3 / article p.155, ball-to-ball collision paragraph",0.01,-0.08359743222731188,dimensionless,23.16739033945821
billiard_alpha1_001,domenech_2023_ball_collision,1.0.0,73.81045,0.1,0.8,8.043206,0.3976168202536652,0.44800000000000006,spent,cue_scattering_angle_degrees,0.97,0.780248316796968,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,11.991193341087145,billiard_alpha1_001,75.24840637066433,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d,sliding,immediate_post_impact,billiard_alpha1,Fig. 6 experimental markers,0.11991770374823729,-0.07802483167969682,degree,234.08979248066544
billiard_alpha1_002,domenech_2023_ball_collision,1.0.0,72.387032,0.1,0.8,9.665953,0.3977858829135829,0.44800000000000006,spent,cue_scattering_angle_degrees,0.97,0.7768130924969583,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,19.730403915317524,billiard_alpha1_002,74.76304070845923,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d,sliding,immediate_post_impact,billiard_alpha1,Fig. 6 experimental markers,0.12042372364281052,-0.07768130924969584,degree,234.08979248066544
billiard_alpha1_003,domenech_2023_ball_collision,1.0.0,75.164693,0.1,0.8,10.835935,0.3979271650347641,0.44800000000000006,spent,cue_scattering_angle_degrees,0.97,0.7739495935526636,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,-7.537762240476764,billiard_alpha1_003,74.20555161321361,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d,sliding,immediate_post_impact,billiard_alpha1,Fig. 6 experimental markers,0.12724484484744364,-0.07739495935526636,degree,234.08979248066544
billiard_alpha1_004,domenech_2023_ball_collision,1.0.0,72.460006,0.1,0.8,11.712595,0.3980437084405526,0.44800000000000006,spent,cue_scattering_angle_degrees,0.97,0.7715924290102752,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,11.360454679045512,billiard_alpha1_004,73.70919376442302,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d,sliding,immediate_post_impact,billiard_alpha1,Fig. 6 experimental markers,0.1099593105835063,-0.07715924290102753,degree,234.08979248066544
billiard_alpha1_005,domenech_2023_ball_collision,1.0.0,73.763332,0.1,0.8,13.626651,0.39833008771635786,0.44800000000000006,spent,cue_scattering_angle_degrees,0.97,0.7658189974619454,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,-12.813737308280226,billiard_alpha1_005,72.45887520124151,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d,sliding,immediate_post_impact,billiard_alpha1,Fig. 6 experimental markers,0.10180143133694143,-0.07658189974619455,degree,234.08979248066544
billiard_alpha1_006,domenech_2023_ball_collision,1.0.0,71.366279,0.1,0.8,15.359168,0.3986272480234662,0.44800000000000006,spent,cue_scattering_angle_degrees,0.97,0.7598561140713012,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,-1.6126161402399326,billiard_alpha1_006,71.1877692888194,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d,sliding,immediate_post_impact,billiard_alpha1,Fig. 6 experimental markers,0.1106957240016524,-0.07598561140713012,degree,234.08979248066544
billiard_alpha1_007,domenech_2023_ball_collision,1.0.0,67.507102,0.1,0.8,17.177087,0.3989780699185395,0.44800000000000006,spent,cue_scattering_angle_degrees,0.97,0.7528524747317196,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,20.55244051162892,billiard_alpha1_007,69.75668899730657,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d,sliding,immediate_post_impact,billiard_alpha1,Fig. 6 experimental markers,0.1094559546849782,-0.07528524747317196,degree,234.08979248066544
billiard_alpha1_008,domenech_2023_ball_collision,1.0.0,70.45535,0.1,0.8,17.182834,0.39897924260725115,0.44800000000000006,spent,cue_scattering_angle_degrees,0.97,0.7528291284927673,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,-5.884948345645555,billiard_alpha1_008,69.7520394473947,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d,sliding,immediate_post_impact,billiard_alpha1,Fig. 6 experimental markers,0.11951006386074774,-0.07528291284927674,degree,234.08979248066544
billiard_alpha1_009,domenech_2023_ball_collision,1.0.0,68.799862,0.1,0.8,19.118526,0.39939715586310004,0.44800000000000006,spent,cue_scattering_angle_degrees,0.97,0.7445363314584572,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,-6.4699724311109374,billiard_alpha1_009,68.1498130745419,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d,sliding,immediate_post_impact,billiard_alpha1,Fig. 6 experimental markers,0.10047166852401727,-0.07445363314584573,degree,234.08979248066544
