point_id,dataset_id,dataset_version,lifecycle,series_id,incident_speed_m_s,expected_rebound_cm_s,standard_uncertainty_cm_s,rigid_cushion_domain,source_locator,normalized_path,normalized_sha256,raw_extracted_path,raw_extracted_sha256
fig7_experimental_01,mathavan_2010_cushion,1.0.0,spent,mathavan_2010,0.262999,23.4401,0.5000672354793904,true,journal p. 1870 Fig. 7(a),tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d
fig7_experimental_02,mathavan_2010_cushion,1.0.0,spent,mathavan_2010,0.354983,32.3511,0.5039159552941344,true,journal p. 1870 Fig. 7(a),tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d
fig7_experimental_03,mathavan_2010_cushion,1.0.0,spent,mathavan_2010,0.418037,38.3074,0.5009912673889636,true,journal p. 1870 Fig. 7(a),tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d
fig7_experimental_04,mathavan_2010_cushion,1.0.0,spent,mathavan_2010,0.650776,58.3087,0.5010746850520389,true,journal p. 1870 Fig. 7(a),tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d
fig7_experimental_05,mathavan_2010_cushion,1.0.0,spent,mathavan_2010,0.704133,66.51045,0.5016986769964616,true,journal p. 1870 Fig. 7(a),tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d
fig7_experimental_06,mathavan_2010_cushion,1.0.0,spent,mathavan_2010,0.844922,79.08925,0.5150864611887989,true,journal p. 1870 Fig. 7(a),tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d
fig7_experimental_07,mathavan_2010_cushion,1.0.0,spent,mathavan_2010,1.153559,106.88035,0.5002639928077974,true,journal p. 1870 Fig. 7(a),tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d
fig7_experimental_08,mathavan_2010_cushion,1.0.0,spent,mathavan_2010,1.29918,123.6813,0.5123467966133877,true,journal p. 1870 Fig. 7(a),tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d
fig7_experimental_09,mathavan_2010_cushion,1.0.0,spent,mathavan_2010,1.526487,145.56535,0.5023130721970114,true,journal p. 1870 Fig. 7(a),tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d
fig7_experimental_10,mathavan_2010_cushion,1.0.0,spent,mathavan_2010,1.755444,164.52385,0.5016822724593725,true,journal p. 1870 Fig. 7(a),tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d
