point_id,dataset_id,dataset_version,lifecycle,series_id,metric,incident_speed_m_s,expected,unit,standard_uncertainty,rigid_cushion_domain,source_locator,normalized_path,normalized_sha256,raw_extracted_path,raw_extracted_sha256
cushion_e_all_speed,sudo_2002,1.0.0,spent,sudo_cushion_restitution,cushion_normal_restitution,2.5,0.745,dimensionless,0.02,true,"PDF p.3 / article p.155, Fig. 3 all-data regression",tests/physics_validation/reference_data/sudo_2002/normalized.csv,sha256:d520f588ece441234044cf98198eb0807eda1a5b17a0435a57693ba3376bd424,tests/physics_validation/reference_data/sudo_2002/raw_extracted.csv,sha256:ad55353fd502273384ee53d498d465e05c0921c37885351cd0e221c00f979bcf
cushion_e_low_speed,sudo_2002,1.0.0,spent,sudo_cushion_restitution,cushion_normal_restitution,1.8,0.856,dimensionless,0.014999999999999999,true,"PDF p.3 / article p.155, Fig. 3 regression below 1800 mm/s",tests/physics_validation/reference_data/sudo_2002/normalized.csv,sha256:d520f588ece441234044cf98198eb0807eda1a5b17a0435a57693ba3376bd424,tests/physics_validation/reference_data/sudo_2002/raw_extracted.csv,sha256:ad55353fd502273384ee53d498d465e05c0921c37885351cd0e221c00f979bcf
fig7_experimental_01,mathavan_2010_cushion,1.0.0,spent,mathavan_2010,rebound_speed_cm_s,0.262999,23.4401,cm/s,0.5000672354793904,true,journal p. 1870 Fig. 7(a),tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d
fig7_experimental_02,mathavan_2010_cushion,1.0.0,spent,mathavan_2010,rebound_speed_cm_s,0.354983,32.3511,cm/s,0.5039159552941344,true,journal p. 1870 Fig. 7(a),tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d
fig7_experimental_03,mathavan_2010_cushion,1.0.0,spent,mathavan_2010,rebound_speed_cm_s,0.418037,38.3074,cm/s,0.5009912673889636,true,journal p. 1870 Fig. 7(a),tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d
fig7_experimental_04,mathavan_2010_cushion,1.0.0,spent,mathavan_2010,rebound_speed_cm_s,0.650776,58.3087,cm/s,0.5010746850520389,true,journal p. 1870 Fig. 7(a),tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d
fig7_experimental_05,mathavan_2010_cushion,1.0.0,spent,mathavan_2010,rebound_speed_cm_s,0.704133,66.51045,cm/s,0.5016986769964616,true,journal p. 1870 Fig. 7(a),tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d
fig7_experimental_06,mathavan_2010_cushion,1.0.0,spent,mathavan_2010,rebound_speed_cm_s,0.844922,79.08925,cm/s,0.5150864611887989,true,journal p. 1870 Fig. 7(a),tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d
fig7_experimental_07,mathavan_2010_cushion,1.0.0,spent,mathavan_2010,rebound_speed_cm_s,1.153559,106.88035,cm/s,0.5002639928077974,true,journal p. 1870 Fig. 7(a),tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d
fig7_experimental_08,mathavan_2010_cushion,1.0.0,spent,mathavan_2010,rebound_speed_cm_s,1.29918,123.6813,cm/s,0.5123467966133877,true,journal p. 1870 Fig. 7(a),tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d
fig7_experimental_09,mathavan_2010_cushion,1.0.0,spent,mathavan_2010,rebound_speed_cm_s,1.526487,145.56535,cm/s,0.5023130721970114,true,journal p. 1870 Fig. 7(a),tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d
fig7_experimental_10,mathavan_2010_cushion,1.0.0,spent,mathavan_2010,rebound_speed_cm_s,1.755444,164.52385,cm/s,0.5016822724593725,true,journal p. 1870 Fig. 7(a),tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d
fig7_experimental_11,mathavan_2010_cushion,1.0.0,spent,mathavan_2010,rebound_speed_cm_s,1.991247,182.4138,cm/s,0.5,true,journal p. 1870 Fig. 7(a),tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d
fig7_experimental_12,mathavan_2010_cushion,1.0.0,spent,mathavan_2010,rebound_speed_cm_s,2.276377,203.1109,cm/s,0.5000562468362933,true,journal p. 1870 Fig. 7(a),tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d
fig7_experimental_13,mathavan_2010_cushion,1.0.0,spent,mathavan_2010,rebound_speed_cm_s,2.52954,227.9685,cm/s,0.5014042780032895,false,journal p. 1870 Fig. 7(a),tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d
fig7_experimental_14,mathavan_2010_cushion,1.0.0,spent,mathavan_2010,rebound_speed_cm_s,2.700844,226.51885,cm/s,0.5010779605011579,false,journal p. 1870 Fig. 7(a),tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d
fig7_experimental_15,mathavan_2010_cushion,1.0.0,spent,mathavan_2010,rebound_speed_cm_s,2.892779,238.2759,cm/s,0.5,false,journal p. 1870 Fig. 7(a),tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d
fig7_experimental_16,mathavan_2010_cushion,1.0.0,spent,mathavan_2010,rebound_speed_cm_s,2.984683,246.2069,cm/s,0.5,false,journal p. 1870 Fig. 7(a),tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d
fig7_experimental_17,mathavan_2010_cushion,1.0.0,spent,mathavan_2010,rebound_speed_cm_s,3.106437,262.0175,cm/s,0.5026452526384786,false,journal p. 1870 Fig. 7(a),tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d
fig7_experimental_18,mathavan_2010_cushion,1.0.0,spent,mathavan_2010,rebound_speed_cm_s,3.1851,256.84955,cm/s,0.5022088235983115,false,journal p. 1870 Fig. 7(a),tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d
fig7_experimental_19,mathavan_2010_cushion,1.0.0,spent,mathavan_2010,rebound_speed_cm_s,3.40454,273.23275,cm/s,0.5164604752543993,false,journal p. 1870 Fig. 7(a),tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d
fig9_visible_01,mathavan_2009_high_speed,1.0.0,spent,mathavan_2009,rebound_speed_cm_s,0.272697,21.7341,cm/s,21.214443872553176,true,Fig. 9 marker,tests/physics_validation/reference_data/mathavan_2009_high_speed/normalized.csv,sha256:c429fc9f3996e194462abfd6e053046b28f87791662df3d09c24f2c19ffb7713,tests/physics_validation/reference_data/mathavan_2009_high_speed/raw_extracted.csv,sha256:e7825cfb753c8872ae6006fec49d55dad9ded354de42447c29f26b756d22d595
fig9_visible_02,mathavan_2009_high_speed,1.0.0,spent,mathavan_2009,rebound_speed_cm_s,1.514616,145.2768,cm/s,21.21323000727869,true,Fig. 9 marker,tests/physics_validation/reference_data/mathavan_2009_high_speed/normalized.csv,sha256:c429fc9f3996e194462abfd6e053046b28f87791662df3d09c24f2c19ffb7713,tests/physics_validation/reference_data/mathavan_2009_high_speed/raw_extracted.csv,sha256:e7825cfb753c8872ae6006fec49d55dad9ded354de42447c29f26b756d22d595
fig9_visible_03,mathavan_2009_high_speed,1.0.0,spent,mathavan_2009,rebound_speed_cm_s,1.761311,163.8257,cm/s,21.213819660346626,true,Fig. 9 marker,tests/physics_validation/reference_data/mathavan_2009_high_speed/normalized.csv,sha256:c429fc9f3996e194462abfd6e053046b28f87791662df3d09c24f2c19ffb7713,tests/physics_validation/reference_data/mathavan_2009_high_speed/raw_extracted.csv,sha256:e7825cfb753c8872ae6006fec49d55dad9ded354de42447c29f26b756d22d595
fig9_visible_04,mathavan_2009_high_speed,1.0.0,spent,mathavan_2009,rebound_speed_cm_s,1.988906,182.1712,cm/s,21.213378136431007,true,Fig. 9 marker,tests/physics_validation/reference_data/mathavan_2009_high_speed/normalized.csv,sha256:c429fc9f3996e194462abfd6e053046b28f87791662df3d09c24f2c19ffb7713,tests/physics_validation/reference_data/mathavan_2009_high_speed/raw_extracted.csv,sha256:e7825cfb753c8872ae6006fec49d55dad9ded354de42447c29f26b756d22d595
fig9_visible_05,mathavan_2009_high_speed,1.0.0,spent,mathavan_2009,rebound_speed_cm_s,2.279716,203.2521,cm/s,21.213385319691646,true,Fig. 9 marker,tests/physics_validation/reference_data/mathavan_2009_high_speed/normalized.csv,sha256:c429fc9f3996e194462abfd6e053046b28f87791662df3d09c24f2c19ffb7713,tests/physics_validation/reference_data/mathavan_2009_high_speed/raw_extracted.csv,sha256:e7825cfb753c8872ae6006fec49d55dad9ded354de42447c29f26b756d22d595
fig9_visible_06,mathavan_2009_high_speed,1.0.0,spent,mathavan_2009,rebound_speed_cm_s,2.530455,228.2271,cm/s,21.213391591674092,false,Fig. 9 marker,tests/physics_validation/reference_data/mathavan_2009_high_speed/normalized.csv,sha256:c429fc9f3996e194462abfd6e053046b28f87791662df3d09c24f2c19ffb7713,tests/physics_validation/reference_data/mathavan_2009_high_speed/raw_extracted.csv,sha256:e7825cfb753c8872ae6006fec49d55dad9ded354de42447c29f26b756d22d595
fig9_visible_07,mathavan_2009_high_speed,1.0.0,spent,mathavan_2009,rebound_speed_cm_s,2.702641,226.1217,cm/s,21.21348586917551,false,Fig. 9 marker,tests/physics_validation/reference_data/mathavan_2009_high_speed/normalized.csv,sha256:c429fc9f3996e194462abfd6e053046b28f87791662df3d09c24f2c19ffb7713,tests/physics_validation/reference_data/mathavan_2009_high_speed/raw_extracted.csv,sha256:e7825cfb753c8872ae6006fec49d55dad9ded354de42447c29f26b756d22d595
fig9_visible_08,mathavan_2009_high_speed,1.0.0,spent,mathavan_2009,rebound_speed_cm_s,3.403653,273.7346,cm/s,21.214709864660158,false,Fig. 9 marker,tests/physics_validation/reference_data/mathavan_2009_high_speed/normalized.csv,sha256:c429fc9f3996e194462abfd6e053046b28f87791662df3d09c24f2c19ffb7713,tests/physics_validation/reference_data/mathavan_2009_high_speed/raw_extracted.csv,sha256:e7825cfb753c8872ae6006fec49d55dad9ded354de42447c29f26b756d22d595
