point_id,time_s,normalized_strain,partition
shimamura_fig5_000,0.000000,0.000000000,calibration
shimamura_fig5_001,0.000050,0.052631579,calibration
shimamura_fig5_002,0.000100,0.131578947,calibration
shimamura_fig5_003,0.000150,0.241228070,calibration
shimamura_fig5_004,0.000200,0.438596491,calibration
shimamura_fig5_005,0.000250,0.587719298,calibration
shimamura_fig5_006,0.000300,0.719298246,calibration
shimamura_fig5_007,0.000350,0.815789474,calibration
shimamura_fig5_008,0.000400,0.921052632,calibration
shimamura_fig5_009,0.000450,0.982456140,calibration
shimamura_fig5_010,0.000500,1.000000000,calibration
shimamura_fig5_011,0.000550,0.991228070,calibration
shimamura_fig5_012,0.000600,0.960526316,calibration
shimamura_fig5_013,0.000650,0.921052632,calibration
shimamura_fig5_014,0.000700,0.868421053,calibration
shimamura_fig5_015,0.000750,0.807017544,calibration
shimamura_fig5_016,0.000800,0.640350877,calibration
shimamura_fig5_017,0.000850,0.482456140,calibration
shimamura_fig5_018,0.000900,0.285087719,calibration
shimamura_fig5_019,0.000950,0.109649123,calibration
shimamura_fig5_020,0.001000,0.000000000,calibration
