dataset_id,dataset_version,series_id,group_id,incident_speed_cm_s,fit_subset,rigid_cushion_domain,case_id,scenario_id,point_id,partition,metric,unit,prediction,prediction_nonfinite,experimental_value,signed_error,acceptance_lower,acceptance_upper,measurement_uncertainty,digitization_uncertainty,conversion_uncertainty,combined_standard_uncertainty,coverage_factor,engineering_absolute_tolerance,engineering_relative_tolerance,group_rmse,group_maximum_absolute_error,source_locator,pool_applicability,status,trace_path,build_id,replay_command,package_hashes,missing_evidence,resolution_condition
mathavan_2010_cushion,1.0.0,perpendicular_rolling_rebound,incident_low,26.299899999999997,True,True,fig7_experimental_01,mathavan_2010_cushion__fig7_experimental_01_v2,fig7_experimental_01,CALIBRATION,cushion_rebound_speed_cm_s,cm/s,24.323247466778522,,23.4401,0.8831474667785209,22.94003276452061,23.940167235479393,0.0,0.0082,0.5,0.5000672354793904,1.0,0.0,0.0,1.1170018167967672,1.8810743684121576,journal p. 1870 Fig. 7(a),TREND_ONLY,MODEL_MISMATCH_KNOWN,physics_models/calibration/phase3_v2_apparatus/traces/mathavan_2010_cushion__fig7_experimental_01_v2.json,sha256:95a387424bf50294312ca001520fa9a9951cf7d4507ed918fac8103571be3b0f,python3 -m tools.physics_validation.reference_run --executable build/check/Billiards --package tests/physics_validation/reference_data/mathavan_2010_cushion --output physics_models/calibration/phase3_v2_apparatus/replay/mathavan_2010_cushion --case fig7_experimental_01,"{""digitization"": ""sha256:4388a3eaf2e5869e3213a803d95b28256c8e2093b6ba5c7be0cf8e604b751e12"", ""expected_model_mismatches"": ""sha256:4cd90ac76737f6360a0be124f3e8f868292e35e8d00d96dcbf173792e271a25d"", ""expected_reference_limitations"": ""sha256:885153f7abb785bc23be5660853db245dfdc5ea18d28bf9049b5ade56a5bf124"", ""extraction"": ""sha256:749629ef3fd854c43b0a662f306056bd8587fe0c579e4ee83d0852370c7b10df"", ""normalized"": ""sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5"", ""raw_extracted"": ""sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d"", ""scenario_template"": ""sha256:f336fa0d08b900381f09c70478fd0f5663df45a56615351deae98055d728fb85"", ""split"": ""sha256:44260204800a7fa83af793727e6effdeb0eba37ac43f658abefff81fdc6962a2""}",,
mathavan_2010_cushion,1.0.0,perpendicular_rolling_rebound,incident_low,35.4983,True,True,fig7_experimental_02,mathavan_2010_cushion__fig7_experimental_02_v2,fig7_experimental_02,CALIBRATION,cushion_rebound_speed_cm_s,cm/s,32.83080218293101,,32.3511,0.47970218293100686,31.84718404470587,32.855015955294135,0.0,0.0627,0.5,0.5039159552941344,1.0,0.0,0.0,1.1170018167967672,1.8810743684121576,journal p. 1870 Fig. 7(a),TREND_ONLY,PASSED,physics_models/calibration/phase3_v2_apparatus/traces/mathavan_2010_cushion__fig7_experimental_02_v2.json,sha256:95a387424bf50294312ca001520fa9a9951cf7d4507ed918fac8103571be3b0f,python3 -m tools.physics_validation.reference_run --executable build/check/Billiards --package tests/physics_validation/reference_data/mathavan_2010_cushion --output physics_models/calibration/phase3_v2_apparatus/replay/mathavan_2010_cushion --case fig7_experimental_02,"{""digitization"": ""sha256:4388a3eaf2e5869e3213a803d95b28256c8e2093b6ba5c7be0cf8e604b751e12"", ""expected_model_mismatches"": ""sha256:4cd90ac76737f6360a0be124f3e8f868292e35e8d00d96dcbf173792e271a25d"", ""expected_reference_limitations"": ""sha256:885153f7abb785bc23be5660853db245dfdc5ea18d28bf9049b5ade56a5bf124"", ""extraction"": ""sha256:749629ef3fd854c43b0a662f306056bd8587fe0c579e4ee83d0852370c7b10df"", ""normalized"": ""sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5"", ""raw_extracted"": ""sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d"", ""scenario_template"": ""sha256:f336fa0d08b900381f09c70478fd0f5663df45a56615351deae98055d728fb85"", ""split"": ""sha256:44260204800a7fa83af793727e6effdeb0eba37ac43f658abefff81fdc6962a2""}",,
mathavan_2010_cushion,1.0.0,perpendicular_rolling_rebound,incident_low,41.8037,True,True,fig7_experimental_03,mathavan_2010_cushion__fig7_experimental_03_v2,fig7_experimental_03,CALIBRATION,cushion_rebound_speed_cm_s,cm/s,38.662588462449484,,38.3074,0.3551884624494832,37.80640873261104,38.80839126738896,0.0,0.0315,0.5,0.5009912673889636,1.0,0.0,0.0,1.1170018167967672,1.8810743684121576,journal p. 1870 Fig. 7(a),TREND_ONLY,PASSED,physics_models/calibration/phase3_v2_apparatus/traces/mathavan_2010_cushion__fig7_experimental_03_v2.json,sha256:95a387424bf50294312ca001520fa9a9951cf7d4507ed918fac8103571be3b0f,python3 -m tools.physics_validation.reference_run --executable build/check/Billiards --package tests/physics_validation/reference_data/mathavan_2010_cushion --output physics_models/calibration/phase3_v2_apparatus/replay/mathavan_2010_cushion --case fig7_experimental_03,"{""digitization"": ""sha256:4388a3eaf2e5869e3213a803d95b28256c8e2093b6ba5c7be0cf8e604b751e12"", ""expected_model_mismatches"": ""sha256:4cd90ac76737f6360a0be124f3e8f868292e35e8d00d96dcbf173792e271a25d"", ""expected_reference_limitations"": ""sha256:885153f7abb785bc23be5660853db245dfdc5ea18d28bf9049b5ade56a5bf124"", ""extraction"": ""sha256:749629ef3fd854c43b0a662f306056bd8587fe0c579e4ee83d0852370c7b10df"", ""normalized"": ""sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5"", ""raw_extracted"": ""sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d"", ""scenario_template"": ""sha256:f336fa0d08b900381f09c70478fd0f5663df45a56615351deae98055d728fb85"", ""split"": ""sha256:44260204800a7fa83af793727e6effdeb0eba37ac43f658abefff81fdc6962a2""}",,
mathavan_2010_cushion,1.0.0,perpendicular_rolling_rebound,incident_low,65.0776,True,True,fig7_experimental_04,mathavan_2010_cushion__fig7_experimental_04_v2,fig7_experimental_04,CALIBRATION,cushion_rebound_speed_cm_s,cm/s,60.18977436841216,,58.3087,1.8810743684121576,57.80762531494796,58.80977468505204,0.0,0.0328,0.5,0.5010746850520389,1.0,0.0,0.0,1.1170018167967672,1.8810743684121576,journal p. 1870 Fig. 7(a),TREND_ONLY,MODEL_MISMATCH_KNOWN,physics_models/calibration/phase3_v2_apparatus/traces/mathavan_2010_cushion__fig7_experimental_04_v2.json,sha256:95a387424bf50294312ca001520fa9a9951cf7d4507ed918fac8103571be3b0f,python3 -m tools.physics_validation.reference_run --executable build/check/Billiards --package tests/physics_validation/reference_data/mathavan_2010_cushion --output physics_models/calibration/phase3_v2_apparatus/replay/mathavan_2010_cushion --case fig7_experimental_04,"{""digitization"": ""sha256:4388a3eaf2e5869e3213a803d95b28256c8e2093b6ba5c7be0cf8e604b751e12"", ""expected_model_mismatches"": ""sha256:4cd90ac76737f6360a0be124f3e8f868292e35e8d00d96dcbf173792e271a25d"", ""expected_reference_limitations"": ""sha256:885153f7abb785bc23be5660853db245dfdc5ea18d28bf9049b5ade56a5bf124"", ""extraction"": ""sha256:749629ef3fd854c43b0a662f306056bd8587fe0c579e4ee83d0852370c7b10df"", ""normalized"": ""sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5"", ""raw_extracted"": ""sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d"", ""scenario_template"": ""sha256:f336fa0d08b900381f09c70478fd0f5663df45a56615351deae98055d728fb85"", ""split"": ""sha256:44260204800a7fa83af793727e6effdeb0eba37ac43f658abefff81fdc6962a2""}",,
mathavan_2010_cushion,1.0.0,perpendicular_rolling_rebound,incident_low,70.4133,True,True,fig7_experimental_05,mathavan_2010_cushion__fig7_experimental_05_v2,fig7_experimental_05,CALIBRATION,cushion_rebound_speed_cm_s,cm/s,65.12451190502232,,66.51045,-1.3859380949776892,66.00875132300355,67.01214867699646,0.0,0.04125,0.5,0.5016986769964616,1.0,0.0,0.0,1.1170018167967672,1.8810743684121576,journal p. 1870 Fig. 7(a),TREND_ONLY,MODEL_MISMATCH_KNOWN,physics_models/calibration/phase3_v2_apparatus/traces/mathavan_2010_cushion__fig7_experimental_05_v2.json,sha256:95a387424bf50294312ca001520fa9a9951cf7d4507ed918fac8103571be3b0f,python3 -m tools.physics_validation.reference_run --executable build/check/Billiards --package tests/physics_validation/reference_data/mathavan_2010_cushion --output physics_models/calibration/phase3_v2_apparatus/replay/mathavan_2010_cushion --case fig7_experimental_05,"{""digitization"": ""sha256:4388a3eaf2e5869e3213a803d95b28256c8e2093b6ba5c7be0cf8e604b751e12"", ""expected_model_mismatches"": ""sha256:4cd90ac76737f6360a0be124f3e8f868292e35e8d00d96dcbf173792e271a25d"", ""expected_reference_limitations"": ""sha256:885153f7abb785bc23be5660853db245dfdc5ea18d28bf9049b5ade56a5bf124"", ""extraction"": ""sha256:749629ef3fd854c43b0a662f306056bd8587fe0c579e4ee83d0852370c7b10df"", ""normalized"": ""sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5"", ""raw_extracted"": ""sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d"", ""scenario_template"": ""sha256:f336fa0d08b900381f09c70478fd0f5663df45a56615351deae98055d728fb85"", ""split"": ""sha256:44260204800a7fa83af793727e6effdeb0eba37ac43f658abefff81fdc6962a2""}",,
mathavan_2010_cushion,1.0.0,perpendicular_rolling_rebound,incident_low,84.4922,True,True,fig7_experimental_06,mathavan_2010_cushion__fig7_experimental_06_v2,fig7_experimental_06,CALIBRATION,cushion_rebound_speed_cm_s,cm/s,78.1454964868872,,79.08925,-0.9437535131128101,78.5741635388112,79.60433646118881,0.0,0.12375,0.5,0.5150864611887989,1.0,0.0,0.0,1.1170018167967672,1.8810743684121576,journal p. 1870 Fig. 7(a),TREND_ONLY,MODEL_MISMATCH_KNOWN,physics_models/calibration/phase3_v2_apparatus/traces/mathavan_2010_cushion__fig7_experimental_06_v2.json,sha256:95a387424bf50294312ca001520fa9a9951cf7d4507ed918fac8103571be3b0f,python3 -m tools.physics_validation.reference_run --executable build/check/Billiards --package tests/physics_validation/reference_data/mathavan_2010_cushion --output physics_models/calibration/phase3_v2_apparatus/replay/mathavan_2010_cushion --case fig7_experimental_06,"{""digitization"": ""sha256:4388a3eaf2e5869e3213a803d95b28256c8e2093b6ba5c7be0cf8e604b751e12"", ""expected_model_mismatches"": ""sha256:4cd90ac76737f6360a0be124f3e8f868292e35e8d00d96dcbf173792e271a25d"", ""expected_reference_limitations"": ""sha256:885153f7abb785bc23be5660853db245dfdc5ea18d28bf9049b5ade56a5bf124"", ""extraction"": ""sha256:749629ef3fd854c43b0a662f306056bd8587fe0c579e4ee83d0852370c7b10df"", ""normalized"": ""sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5"", ""raw_extracted"": ""sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d"", ""scenario_template"": ""sha256:f336fa0d08b900381f09c70478fd0f5663df45a56615351deae98055d728fb85"", ""split"": ""sha256:44260204800a7fa83af793727e6effdeb0eba37ac43f658abefff81fdc6962a2""}",,
domenech_2023_ball_collision,1.0.0,billiard_alpha1,billiard_alpha1_low,,,,billiard_alpha1_001,domenech_2023_ball_collision__billiard_alpha1_001_v2,billiard_alpha1_001,CALIBRATION,cue_scattering_angle_degrees,degree,15.782731728694852,,73.81045,-58.02771827130515,73.69053229625176,73.93036770374825,0.0,0.0661835,0.1,0.11991770374823729,1.0,0.0,0.0,42.70261038029481,58.02771827130515,Fig. 6 experimental markers,CONVERTED,MODEL_MISMATCH_KNOWN,physics_models/calibration/phase3_v2_apparatus/traces/domenech_2023_ball_collision__billiard_alpha1_001_v2.json,sha256:95a387424bf50294312ca001520fa9a9951cf7d4507ed918fac8103571be3b0f,python3 -m tools.physics_validation.reference_run --executable build/check/Billiards --package tests/physics_validation/reference_data/domenech_2023_ball_collision --output physics_models/calibration/phase3_v2_apparatus/replay/domenech_2023_ball_collision --case billiard_alpha1_001,"{""digitization"": ""sha256:90c5bc0267c8b41d130510492a6f897d0418bc92b2762414f53b13e9c2afa458"", ""expected_model_mismatches"": ""sha256:c76e426de65f7105dfa9f166c1e53fb72bca0139e3d4bb37d2f7d9d6513a285d"", ""expected_reference_limitations"": ""sha256:f94ccb717e1244c117b9878633aedb911f011b80a516735235a0b359db353867"", ""extraction"": ""sha256:30a0a477a51b02d917273ae086742f4c3f97e12204543220c2711e8eb2b68ab8"", ""normalized"": ""sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec"", ""raw_extracted"": ""sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d"", ""scenario_template"": ""sha256:d26935b5efaff34030564d113380adfca7b1b9f8aa56f65580ca70b33503a6a7"", ""split"": ""sha256:4ba90e5d4f009790a3f649bfacda6a6193d3785c25a5c9febde5ae4120912505""}",,
domenech_2023_ball_collision,1.0.0,billiard_alpha1,billiard_alpha1_low,,,,billiard_alpha1_002,domenech_2023_ball_collision__billiard_alpha1_002_v2,billiard_alpha1_002,CALIBRATION,cue_scattering_angle_degrees,degree,18.35840978056959,,72.387032,-54.02862221943042,72.26660827635719,72.50745572364282,0.0,0.067096,0.1,0.12042372364281052,1.0,0.0,0.0,42.70261038029481,58.02771827130515,Fig. 6 experimental markers,CONVERTED,MODEL_MISMATCH_KNOWN,physics_models/calibration/phase3_v2_apparatus/traces/domenech_2023_ball_collision__billiard_alpha1_002_v2.json,sha256:95a387424bf50294312ca001520fa9a9951cf7d4507ed918fac8103571be3b0f,python3 -m tools.physics_validation.reference_run --executable build/check/Billiards --package tests/physics_validation/reference_data/domenech_2023_ball_collision --output physics_models/calibration/phase3_v2_apparatus/replay/domenech_2023_ball_collision --case billiard_alpha1_002,"{""digitization"": ""sha256:90c5bc0267c8b41d130510492a6f897d0418bc92b2762414f53b13e9c2afa458"", ""expected_model_mismatches"": ""sha256:c76e426de65f7105dfa9f166c1e53fb72bca0139e3d4bb37d2f7d9d6513a285d"", ""expected_reference_limitations"": ""sha256:f94ccb717e1244c117b9878633aedb911f011b80a516735235a0b359db353867"", ""extraction"": ""sha256:30a0a477a51b02d917273ae086742f4c3f97e12204543220c2711e8eb2b68ab8"", ""normalized"": ""sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec"", ""raw_extracted"": ""sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d"", ""scenario_template"": ""sha256:d26935b5efaff34030564d113380adfca7b1b9f8aa56f65580ca70b33503a6a7"", ""split"": ""sha256:4ba90e5d4f009790a3f649bfacda6a6193d3785c25a5c9febde5ae4120912505""}",,
domenech_2023_ball_collision,1.0.0,billiard_alpha1,billiard_alpha1_low,,,,billiard_alpha1_003,domenech_2023_ball_collision__billiard_alpha1_003_v2,billiard_alpha1_003,CALIBRATION,cue_scattering_angle_degrees,degree,20.05011996255399,,75.164693,-55.11457303744601,75.03744815515256,75.29193784484744,0.0,0.0786845,0.1,0.12724484484744364,1.0,0.0,0.0,42.70261038029481,58.02771827130515,Fig. 6 experimental markers,CONVERTED,MODEL_MISMATCH_KNOWN,physics_models/calibration/phase3_v2_apparatus/traces/domenech_2023_ball_collision__billiard_alpha1_003_v2.json,sha256:95a387424bf50294312ca001520fa9a9951cf7d4507ed918fac8103571be3b0f,python3 -m tools.physics_validation.reference_run --executable build/check/Billiards --package tests/physics_validation/reference_data/domenech_2023_ball_collision --output physics_models/calibration/phase3_v2_apparatus/replay/domenech_2023_ball_collision --case billiard_alpha1_003,"{""digitization"": ""sha256:90c5bc0267c8b41d130510492a6f897d0418bc92b2762414f53b13e9c2afa458"", ""expected_model_mismatches"": ""sha256:c76e426de65f7105dfa9f166c1e53fb72bca0139e3d4bb37d2f7d9d6513a285d"", ""expected_reference_limitations"": ""sha256:f94ccb717e1244c117b9878633aedb911f011b80a516735235a0b359db353867"", ""extraction"": ""sha256:30a0a477a51b02d917273ae086742f4c3f97e12204543220c2711e8eb2b68ab8"", ""normalized"": ""sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec"", ""raw_extracted"": ""sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d"", ""scenario_template"": ""sha256:d26935b5efaff34030564d113380adfca7b1b9f8aa56f65580ca70b33503a6a7"", ""split"": ""sha256:4ba90e5d4f009790a3f649bfacda6a6193d3785c25a5c9febde5ae4120912505""}",,
domenech_2023_ball_collision,1.0.0,billiard_alpha1,billiard_alpha1_low,,,,billiard_alpha1_004,domenech_2023_ball_collision__billiard_alpha1_004_v2,billiard_alpha1_004,CALIBRATION,cue_scattering_angle_degrees,degree,21.225507521135174,,72.460006,-51.234498478864836,72.3500466894165,72.56996531058351,0.0,0.045728,0.1,0.1099593105835063,1.0,0.0,0.0,42.70261038029481,58.02771827130515,Fig. 6 experimental markers,CONVERTED,MODEL_MISMATCH_KNOWN,physics_models/calibration/phase3_v2_apparatus/traces/domenech_2023_ball_collision__billiard_alpha1_004_v2.json,sha256:95a387424bf50294312ca001520fa9a9951cf7d4507ed918fac8103571be3b0f,python3 -m tools.physics_validation.reference_run --executable build/check/Billiards --package tests/physics_validation/reference_data/domenech_2023_ball_collision --output physics_models/calibration/phase3_v2_apparatus/replay/domenech_2023_ball_collision --case billiard_alpha1_004,"{""digitization"": ""sha256:90c5bc0267c8b41d130510492a6f897d0418bc92b2762414f53b13e9c2afa458"", ""expected_model_mismatches"": ""sha256:c76e426de65f7105dfa9f166c1e53fb72bca0139e3d4bb37d2f7d9d6513a285d"", ""expected_reference_limitations"": ""sha256:f94ccb717e1244c117b9878633aedb911f011b80a516735235a0b359db353867"", ""extraction"": ""sha256:30a0a477a51b02d917273ae086742f4c3f97e12204543220c2711e8eb2b68ab8"", ""normalized"": ""sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec"", ""raw_extracted"": ""sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d"", ""scenario_template"": ""sha256:d26935b5efaff34030564d113380adfca7b1b9f8aa56f65580ca70b33503a6a7"", ""split"": ""sha256:4ba90e5d4f009790a3f649bfacda6a6193d3785c25a5c9febde5ae4120912505""}",,
