dataset_id,dataset_version,series_id,group_id,incident_speed_cm_s,fit_subset,rigid_cushion_domain,case_id,scenario_id,point_id,partition,metric,unit,prediction,prediction_nonfinite,experimental_value,signed_error,acceptance_lower,acceptance_upper,measurement_uncertainty,digitization_uncertainty,conversion_uncertainty,combined_standard_uncertainty,coverage_factor,engineering_absolute_tolerance,engineering_relative_tolerance,group_rmse,group_maximum_absolute_error,source_locator,pool_applicability,status,trace_path,build_id,replay_command,package_hashes,missing_evidence,resolution_condition
domenech_2023_ball_collision,1.0.0,billiard_alpha1,billiard_alpha1_low,,,,billiard_alpha1_001,domenech_2023_ball_collision__billiard_alpha1_001,billiard_alpha1_001,CALIBRATION,cue_scattering_angle_degrees,degree,12.6888817943167,,73.81045,-61.1215682056833,73.69053229625176,73.93036770374825,0.0,0.0661835,0.1,0.11991770374823729,1.0,0.0,0.0,46.64409280632758,61.1215682056833,Fig. 6 experimental markers,CONVERTED,MODEL_MISMATCH_KNOWN,/private/tmp/billiardgl-ball-domenech-calibration/traces/domenech_2023_ball_collision__billiard_alpha1_001.json,sha256:e1254b65072dbce3664a9cee037d3aa9f41f6b4d94be33fcb5fbe18ad98c9c5d,python3 -m tools.physics_validation.reference_run --executable /private/tmp/billiardgl-phase3/Billiards --package /Users/bytedance/Projects/github/BilliardGL/.worktrees/physics-validation-foundation/tests/physics_validation/reference_data/domenech_2023_ball_collision --output /private/tmp/billiardgl-ball-domenech-calibration --case billiard_alpha1_001,"{""digitization"": ""sha256:90c5bc0267c8b41d130510492a6f897d0418bc92b2762414f53b13e9c2afa458"", ""expected_model_mismatches"": ""sha256:c76e426de65f7105dfa9f166c1e53fb72bca0139e3d4bb37d2f7d9d6513a285d"", ""expected_reference_limitations"": ""sha256:f94ccb717e1244c117b9878633aedb911f011b80a516735235a0b359db353867"", ""extraction"": ""sha256:30a0a477a51b02d917273ae086742f4c3f97e12204543220c2711e8eb2b68ab8"", ""normalized"": ""sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec"", ""raw_extracted"": ""sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d"", ""scenario_template"": ""sha256:d26935b5efaff34030564d113380adfca7b1b9f8aa56f65580ca70b33503a6a7"", ""split"": ""sha256:4ba90e5d4f009790a3f649bfacda6a6193d3785c25a5c9febde5ae4120912505""}",,
domenech_2023_ball_collision,1.0.0,billiard_alpha1,billiard_alpha1_low,,,,billiard_alpha1_002,domenech_2023_ball_collision__billiard_alpha1_002,billiard_alpha1_002,CALIBRATION,cue_scattering_angle_degrees,degree,14.85740040305544,,72.387032,-57.52963159694457,72.26660827635719,72.50745572364282,0.0,0.067096,0.1,0.12042372364281052,1.0,0.0,0.0,46.64409280632758,61.1215682056833,Fig. 6 experimental markers,CONVERTED,MODEL_MISMATCH_KNOWN,/private/tmp/billiardgl-ball-domenech-calibration/traces/domenech_2023_ball_collision__billiard_alpha1_002.json,sha256:e1254b65072dbce3664a9cee037d3aa9f41f6b4d94be33fcb5fbe18ad98c9c5d,python3 -m tools.physics_validation.reference_run --executable /private/tmp/billiardgl-phase3/Billiards --package /Users/bytedance/Projects/github/BilliardGL/.worktrees/physics-validation-foundation/tests/physics_validation/reference_data/domenech_2023_ball_collision --output /private/tmp/billiardgl-ball-domenech-calibration --case billiard_alpha1_002,"{""digitization"": ""sha256:90c5bc0267c8b41d130510492a6f897d0418bc92b2762414f53b13e9c2afa458"", ""expected_model_mismatches"": ""sha256:c76e426de65f7105dfa9f166c1e53fb72bca0139e3d4bb37d2f7d9d6513a285d"", ""expected_reference_limitations"": ""sha256:f94ccb717e1244c117b9878633aedb911f011b80a516735235a0b359db353867"", ""extraction"": ""sha256:30a0a477a51b02d917273ae086742f4c3f97e12204543220c2711e8eb2b68ab8"", ""normalized"": ""sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec"", ""raw_extracted"": ""sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d"", ""scenario_template"": ""sha256:d26935b5efaff34030564d113380adfca7b1b9f8aa56f65580ca70b33503a6a7"", ""split"": ""sha256:4ba90e5d4f009790a3f649bfacda6a6193d3785c25a5c9febde5ae4120912505""}",,
domenech_2023_ball_collision,1.0.0,billiard_alpha1,billiard_alpha1_low,,,,billiard_alpha1_003,domenech_2023_ball_collision__billiard_alpha1_003,billiard_alpha1_003,CALIBRATION,cue_scattering_angle_degrees,degree,16.30855685993032,,75.164693,-58.85613614006968,75.03744815515256,75.29193784484744,0.0,0.0786845,0.1,0.12724484484744364,1.0,0.0,0.0,46.64409280632758,61.1215682056833,Fig. 6 experimental markers,CONVERTED,MODEL_MISMATCH_KNOWN,/private/tmp/billiardgl-ball-domenech-calibration/traces/domenech_2023_ball_collision__billiard_alpha1_003.json,sha256:e1254b65072dbce3664a9cee037d3aa9f41f6b4d94be33fcb5fbe18ad98c9c5d,python3 -m tools.physics_validation.reference_run --executable /private/tmp/billiardgl-phase3/Billiards --package /Users/bytedance/Projects/github/BilliardGL/.worktrees/physics-validation-foundation/tests/physics_validation/reference_data/domenech_2023_ball_collision --output /private/tmp/billiardgl-ball-domenech-calibration --case billiard_alpha1_003,"{""digitization"": ""sha256:90c5bc0267c8b41d130510492a6f897d0418bc92b2762414f53b13e9c2afa458"", ""expected_model_mismatches"": ""sha256:c76e426de65f7105dfa9f166c1e53fb72bca0139e3d4bb37d2f7d9d6513a285d"", ""expected_reference_limitations"": ""sha256:f94ccb717e1244c117b9878633aedb911f011b80a516735235a0b359db353867"", ""extraction"": ""sha256:30a0a477a51b02d917273ae086742f4c3f97e12204543220c2711e8eb2b68ab8"", ""normalized"": ""sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec"", ""raw_extracted"": ""sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d"", ""scenario_template"": ""sha256:d26935b5efaff34030564d113380adfca7b1b9f8aa56f65580ca70b33503a6a7"", ""split"": ""sha256:4ba90e5d4f009790a3f649bfacda6a6193d3785c25a5c9febde5ae4120912505""}",,
domenech_2023_ball_collision,1.0.0,billiard_alpha1,billiard_alpha1_low,,,,billiard_alpha1_004,domenech_2023_ball_collision__billiard_alpha1_004,billiard_alpha1_004,CALIBRATION,cue_scattering_angle_degrees,degree,17.331676552803987,,72.460006,-55.12832944719602,72.3500466894165,72.56996531058351,0.0,0.045728,0.1,0.1099593105835063,1.0,0.0,0.0,46.64409280632758,61.1215682056833,Fig. 6 experimental markers,CONVERTED,MODEL_MISMATCH_KNOWN,/private/tmp/billiardgl-ball-domenech-calibration/traces/domenech_2023_ball_collision__billiard_alpha1_004.json,sha256:e1254b65072dbce3664a9cee037d3aa9f41f6b4d94be33fcb5fbe18ad98c9c5d,python3 -m tools.physics_validation.reference_run --executable /private/tmp/billiardgl-phase3/Billiards --package /Users/bytedance/Projects/github/BilliardGL/.worktrees/physics-validation-foundation/tests/physics_validation/reference_data/domenech_2023_ball_collision --output /private/tmp/billiardgl-ball-domenech-calibration --case billiard_alpha1_004,"{""digitization"": ""sha256:90c5bc0267c8b41d130510492a6f897d0418bc92b2762414f53b13e9c2afa458"", ""expected_model_mismatches"": ""sha256:c76e426de65f7105dfa9f166c1e53fb72bca0139e3d4bb37d2f7d9d6513a285d"", ""expected_reference_limitations"": ""sha256:f94ccb717e1244c117b9878633aedb911f011b80a516735235a0b359db353867"", ""extraction"": ""sha256:30a0a477a51b02d917273ae086742f4c3f97e12204543220c2711e8eb2b68ab8"", ""normalized"": ""sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec"", ""raw_extracted"": ""sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d"", ""scenario_template"": ""sha256:d26935b5efaff34030564d113380adfca7b1b9f8aa56f65580ca70b33503a6a7"", ""split"": ""sha256:4ba90e5d4f009790a3f649bfacda6a6193d3785c25a5c9febde5ae4120912505""}",,
domenech_2023_ball_collision,1.0.0,billiard_alpha1,billiard_alpha1_low,,,,billiard_alpha1_005,domenech_2023_ball_collision__billiard_alpha1_005,billiard_alpha1_005,CALIBRATION,cue_scattering_angle_degrees,degree,19.37036953655449,,73.763332,-54.392962463445514,73.66153056866307,73.86513343133694,0.0,0.0190665,0.1,0.10180143133694143,1.0,0.0,0.0,46.64409280632758,61.1215682056833,Fig. 6 experimental markers,CONVERTED,MODEL_MISMATCH_KNOWN,/private/tmp/billiardgl-ball-domenech-calibration/traces/domenech_2023_ball_collision__billiard_alpha1_005.json,sha256:e1254b65072dbce3664a9cee037d3aa9f41f6b4d94be33fcb5fbe18ad98c9c5d,python3 -m tools.physics_validation.reference_run --executable /private/tmp/billiardgl-phase3/Billiards --package /Users/bytedance/Projects/github/BilliardGL/.worktrees/physics-validation-foundation/tests/physics_validation/reference_data/domenech_2023_ball_collision --output /private/tmp/billiardgl-ball-domenech-calibration --case billiard_alpha1_005,"{""digitization"": ""sha256:90c5bc0267c8b41d130510492a6f897d0418bc92b2762414f53b13e9c2afa458"", ""expected_model_mismatches"": ""sha256:c76e426de65f7105dfa9f166c1e53fb72bca0139e3d4bb37d2f7d9d6513a285d"", ""expected_reference_limitations"": ""sha256:f94ccb717e1244c117b9878633aedb911f011b80a516735235a0b359db353867"", ""extraction"": ""sha256:30a0a477a51b02d917273ae086742f4c3f97e12204543220c2711e8eb2b68ab8"", ""normalized"": ""sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec"", ""raw_extracted"": ""sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d"", ""scenario_template"": ""sha256:d26935b5efaff34030564d113380adfca7b1b9f8aa56f65580ca70b33503a6a7"", ""split"": ""sha256:4ba90e5d4f009790a3f649bfacda6a6193d3785c25a5c9febde5ae4120912505""}",,
domenech_2023_ball_collision,1.0.0,billiard_alpha1,billiard_alpha1_low,,,,billiard_alpha1_006,domenech_2023_ball_collision__billiard_alpha1_006,billiard_alpha1_006,CALIBRATION,cue_scattering_angle_degrees,degree,20.984539409028763,,71.366279,-50.38173959097124,71.25558327599835,71.47697472400166,0.0,0.0474715,0.1,0.1106957240016524,1.0,0.0,0.0,46.64409280632758,61.1215682056833,Fig. 6 experimental markers,CONVERTED,MODEL_MISMATCH_KNOWN,/private/tmp/billiardgl-ball-domenech-calibration/traces/domenech_2023_ball_collision__billiard_alpha1_006.json,sha256:e1254b65072dbce3664a9cee037d3aa9f41f6b4d94be33fcb5fbe18ad98c9c5d,python3 -m tools.physics_validation.reference_run --executable /private/tmp/billiardgl-phase3/Billiards --package /Users/bytedance/Projects/github/BilliardGL/.worktrees/physics-validation-foundation/tests/physics_validation/reference_data/domenech_2023_ball_collision --output /private/tmp/billiardgl-ball-domenech-calibration --case billiard_alpha1_006,"{""digitization"": ""sha256:90c5bc0267c8b41d130510492a6f897d0418bc92b2762414f53b13e9c2afa458"", ""expected_model_mismatches"": ""sha256:c76e426de65f7105dfa9f166c1e53fb72bca0139e3d4bb37d2f7d9d6513a285d"", ""expected_reference_limitations"": ""sha256:f94ccb717e1244c117b9878633aedb911f011b80a516735235a0b359db353867"", ""extraction"": ""sha256:30a0a477a51b02d917273ae086742f4c3f97e12204543220c2711e8eb2b68ab8"", ""normalized"": ""sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec"", ""raw_extracted"": ""sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d"", ""scenario_template"": ""sha256:d26935b5efaff34030564d113380adfca7b1b9f8aa56f65580ca70b33503a6a7"", ""split"": ""sha256:4ba90e5d4f009790a3f649bfacda6a6193d3785c25a5c9febde5ae4120912505""}",,
domenech_2023_ball_collision,1.0.0,billiard_alpha1,billiard_alpha1_low,,,,billiard_alpha1_007,domenech_2023_ball_collision__billiard_alpha1_007,billiard_alpha1_007,CALIBRATION,cue_scattering_angle_degrees,degree,22.447081072707817,,67.507102,-45.060020927292186,67.39764604531503,67.61655795468498,0.0,0.044504,0.1,0.1094559546849782,1.0,0.0,0.0,46.64409280632758,61.1215682056833,Fig. 6 experimental markers,CONVERTED,MODEL_MISMATCH_KNOWN,/private/tmp/billiardgl-ball-domenech-calibration/traces/domenech_2023_ball_collision__billiard_alpha1_007.json,sha256:e1254b65072dbce3664a9cee037d3aa9f41f6b4d94be33fcb5fbe18ad98c9c5d,python3 -m tools.physics_validation.reference_run --executable /private/tmp/billiardgl-phase3/Billiards --package /Users/bytedance/Projects/github/BilliardGL/.worktrees/physics-validation-foundation/tests/physics_validation/reference_data/domenech_2023_ball_collision --output /private/tmp/billiardgl-ball-domenech-calibration --case billiard_alpha1_007,"{""digitization"": ""sha256:90c5bc0267c8b41d130510492a6f897d0418bc92b2762414f53b13e9c2afa458"", ""expected_model_mismatches"": ""sha256:c76e426de65f7105dfa9f166c1e53fb72bca0139e3d4bb37d2f7d9d6513a285d"", ""expected_reference_limitations"": ""sha256:f94ccb717e1244c117b9878633aedb911f011b80a516735235a0b359db353867"", ""extraction"": ""sha256:30a0a477a51b02d917273ae086742f4c3f97e12204543220c2711e8eb2b68ab8"", ""normalized"": ""sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec"", ""raw_extracted"": ""sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d"", ""scenario_template"": ""sha256:d26935b5efaff34030564d113380adfca7b1b9f8aa56f65580ca70b33503a6a7"", ""split"": ""sha256:4ba90e5d4f009790a3f649bfacda6a6193d3785c25a5c9febde5ae4120912505""}",,
domenech_2023_ball_collision,1.0.0,billiard_alpha1,billiard_alpha1_low,,,,billiard_alpha1_008,domenech_2023_ball_collision__billiard_alpha1_008,billiard_alpha1_008,CALIBRATION,cue_scattering_angle_degrees,degree,22.451337617108717,,70.45535,-48.004012382891275,70.33583993613925,70.57486006386074,0.0,0.065442,0.1,0.11951006386074774,1.0,0.0,0.0,46.64409280632758,61.1215682056833,Fig. 6 experimental markers,CONVERTED,MODEL_MISMATCH_KNOWN,/private/tmp/billiardgl-ball-domenech-calibration/traces/domenech_2023_ball_collision__billiard_alpha1_008.json,sha256:e1254b65072dbce3664a9cee037d3aa9f41f6b4d94be33fcb5fbe18ad98c9c5d,python3 -m tools.physics_validation.reference_run --executable /private/tmp/billiardgl-phase3/Billiards --package /Users/bytedance/Projects/github/BilliardGL/.worktrees/physics-validation-foundation/tests/physics_validation/reference_data/domenech_2023_ball_collision --output /private/tmp/billiardgl-ball-domenech-calibration --case billiard_alpha1_008,"{""digitization"": ""sha256:90c5bc0267c8b41d130510492a6f897d0418bc92b2762414f53b13e9c2afa458"", ""expected_model_mismatches"": ""sha256:c76e426de65f7105dfa9f166c1e53fb72bca0139e3d4bb37d2f7d9d6513a285d"", ""expected_reference_limitations"": ""sha256:f94ccb717e1244c117b9878633aedb911f011b80a516735235a0b359db353867"", ""extraction"": ""sha256:30a0a477a51b02d917273ae086742f4c3f97e12204543220c2711e8eb2b68ab8"", ""normalized"": ""sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec"", ""raw_extracted"": ""sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d"", ""scenario_template"": ""sha256:d26935b5efaff34030564d113380adfca7b1b9f8aa56f65580ca70b33503a6a7"", ""split"": ""sha256:4ba90e5d4f009790a3f649bfacda6a6193d3785c25a5c9febde5ae4120912505""}",,
domenech_2023_ball_collision,1.0.0,billiard_alpha1,billiard_alpha1_low,,,,billiard_alpha1_009,domenech_2023_ball_collision__billiard_alpha1_009,billiard_alpha1_009,CALIBRATION,cue_scattering_angle_degrees,degree,23.75844298731362,,68.799862,-45.04141901268638,68.69939033147598,68.90033366852403,0.0,0.009724,0.1,0.10047166852401727,1.0,0.0,0.0,46.64409280632758,61.1215682056833,Fig. 6 experimental markers,CONVERTED,MODEL_MISMATCH_KNOWN,/private/tmp/billiardgl-ball-domenech-calibration/traces/domenech_2023_ball_collision__billiard_alpha1_009.json,sha256:e1254b65072dbce3664a9cee037d3aa9f41f6b4d94be33fcb5fbe18ad98c9c5d,python3 -m tools.physics_validation.reference_run --executable /private/tmp/billiardgl-phase3/Billiards --package /Users/bytedance/Projects/github/BilliardGL/.worktrees/physics-validation-foundation/tests/physics_validation/reference_data/domenech_2023_ball_collision --output /private/tmp/billiardgl-ball-domenech-calibration --case billiard_alpha1_009,"{""digitization"": ""sha256:90c5bc0267c8b41d130510492a6f897d0418bc92b2762414f53b13e9c2afa458"", ""expected_model_mismatches"": ""sha256:c76e426de65f7105dfa9f166c1e53fb72bca0139e3d4bb37d2f7d9d6513a285d"", ""expected_reference_limitations"": ""sha256:f94ccb717e1244c117b9878633aedb911f011b80a516735235a0b359db353867"", ""extraction"": ""sha256:30a0a477a51b02d917273ae086742f4c3f97e12204543220c2711e8eb2b68ab8"", ""normalized"": ""sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec"", ""raw_extracted"": ""sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d"", ""scenario_template"": ""sha256:d26935b5efaff34030564d113380adfca7b1b9f8aa56f65580ca70b33503a6a7"", ""split"": ""sha256:4ba90e5d4f009790a3f649bfacda6a6193d3785c25a5c9febde5ae4120912505""}",,
domenech_2023_ball_collision,1.0.0,billiard_alpha1,billiard_alpha1_low,,,,billiard_alpha1_010,domenech_2023_ball_collision__billiard_alpha1_010,billiard_alpha1_010,CALIBRATION,cue_scattering_angle_degrees,degree,24.76953343658389,,63.842467,-39.07293356341611,63.742258688149136,63.94267531185086,0.0,0.006458,0.1,0.10020831185086396,1.0,0.0,0.0,46.64409280632758,61.1215682056833,Fig. 6 experimental markers,CONVERTED,MODEL_MISMATCH_KNOWN,/private/tmp/billiardgl-ball-domenech-calibration/traces/domenech_2023_ball_collision__billiard_alpha1_010.json,sha256:e1254b65072dbce3664a9cee037d3aa9f41f6b4d94be33fcb5fbe18ad98c9c5d,python3 -m tools.physics_validation.reference_run --executable /private/tmp/billiardgl-phase3/Billiards --package /Users/bytedance/Projects/github/BilliardGL/.worktrees/physics-validation-foundation/tests/physics_validation/reference_data/domenech_2023_ball_collision --output /private/tmp/billiardgl-ball-domenech-calibration --case billiard_alpha1_010,"{""digitization"": ""sha256:90c5bc0267c8b41d130510492a6f897d0418bc92b2762414f53b13e9c2afa458"", ""expected_model_mismatches"": ""sha256:c76e426de65f7105dfa9f166c1e53fb72bca0139e3d4bb37d2f7d9d6513a285d"", ""expected_reference_limitations"": ""sha256:f94ccb717e1244c117b9878633aedb911f011b80a516735235a0b359db353867"", ""extraction"": ""sha256:30a0a477a51b02d917273ae086742f4c3f97e12204543220c2711e8eb2b68ab8"", ""normalized"": ""sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec"", ""raw_extracted"": ""sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d"", ""scenario_template"": ""sha256:d26935b5efaff34030564d113380adfca7b1b9f8aa56f65580ca70b33503a6a7"", ""split"": ""sha256:4ba90e5d4f009790a3f649bfacda6a6193d3785c25a5c9febde5ae4120912505""}",,
