case_id,seed,passed,frame_count,wall_seconds,peak_rss_bytes,deterministic_hash
cue_center_hit,7,true,240,0.083386,46219264,f148d0c74307ef5045f70411cd4240b528356d3a92c871a8d07a93197ece5ab8
cue_near_miscue,7,true,240,0.080469,69763072,1b3bdeb495012ea3dce294659b8735f3c5ac37cac5478038bc67dff488cfd312
sliding_to_rolling,7,true,240,0.070975,75333632,ec2ae78c5e64b1d1669723d6046c5ff5f5253115ddc2eff99f657a41fdb0d02b
oblique_ball_collision,7,true,240,0.069969,89325568,2b4e3abfe0cdd49beba4c48cb56fdfb34b8c60f68aa825d86bc19e39748e4c0f
rail_rebound,7,true,240,0.072276,91521024,42ed4c153acf33725ec95e60c18d4c112fe1771f2f724c97d06e20222babb572
side_pocket_capture,7,true,240,0.080209,98238464,62b12f582c3bfa3e70afcb8ca19fa3a567f9531e9fc392ac870f2d535f428325
seeded_break,101,true,360,0.153309,126353408,0c78ef8676ecf2708409c4cd356120a199c2dc12908eba2796c5bee08fda9c84
continuous_scoring,211,true,360,0.117216,149225472,1a5eb4c0b5e280cc79717a768dedaeb77f1d61f817bfee9a155a43fc4e970f6f
cue_ball_scratch,307,true,120,0.039629,149225472,0016d1e54ffde5b16baac5a19c7cf7b353482e88fa9eb0e77c721cb04c82d924
randomized_legal_sequence,305419896,true,45,0.014108,149225472,11f6fc57741aaabe52bc55cf86c0a8cf0621d900704195b5505d604227f191e5
cadence_equivalence,401,true,240,0.249440,149225472,dda42529703b044abd1bd19dc8cba4f05442434577356fe717742d1b000ee3d9
host_load_equivalence,503,true,240,0.240104,149225472,3b7c60facab1426c9e11be5699e3ff76f1499de0c561f299b24323dd9f3b8e66
