case_id,topology,speed_cm_s,spin_rad_s,tick_subdivisions,input_permutation,seed,contact_count,maximum_residual_cm_s,maximum_penetration_cm,energy_before_j,energy_after_j,duplicate_impulses,symmetry_error_cm_s,finite_state,state_hash
solver_stress_00000,line_chain,25,-40,1,canonical,0,2,9.9999999999999995e-08,1.0000000000000001e-05,0.0053125000000000004,0.0052062499999999999,0,1.0000000000000001e-09,True,f1acbaef6383d09bbe59781fc1feb4cec839b084bfe1cd3a46d6fe712a2b7e86
solver_stress_00001,line_chain,25,-40,1,canonical,1,2,1.9999999999999999e-07,2.0000000000000002e-05,0.0053125000000000004,0.0052062499999999999,0,2.0000000000000001e-09,True,2ab23b2078986f49994534c379ad5f0a715e333cb8a84b3ccbb7aed68ca9fcdc
solver_stress_00002,line_chain,25,-40,1,canonical,2,2,2.9999999999999999e-07,3.0000000000000004e-05,0.0053125000000000004,0.0052062499999999999,0,3.0000000000000004e-09,True,47cc7f95fe1fc82a9d84595b6f7821a4caae3150614a10aef950f0da564b8676
solver_stress_00003,line_chain,25,-40,1,canonical,3,2,3.9999999999999998e-07,4.0000000000000003e-05,0.0053125000000000004,0.0052062499999999999,0,4.0000000000000002e-09,True,f21c240f4d89b21a626a9838b4135d13265f3dd43af6b325eebd2c2ec80b52d3
solver_stress_00004,line_chain,25,-40,1,reversed,0,2,9.9999999999999995e-08,1.0000000000000001e-05,0.0053125000000000004,0.0052062499999999999,0,1.0000000000000001e-09,True,f1acbaef6383d09bbe59781fc1feb4cec839b084bfe1cd3a46d6fe712a2b7e86
solver_stress_00005,line_chain,25,-40,1,reversed,1,2,1.9999999999999999e-07,2.0000000000000002e-05,0.0053125000000000004,0.0052062499999999999,0,2.0000000000000001e-09,True,2ab23b2078986f49994534c379ad5f0a715e333cb8a84b3ccbb7aed68ca9fcdc
solver_stress_00006,line_chain,25,-40,1,reversed,2,2,2.9999999999999999e-07,3.0000000000000004e-05,0.0053125000000000004,0.0052062499999999999,0,3.0000000000000004e-09,True,47cc7f95fe1fc82a9d84595b6f7821a4caae3150614a10aef950f0da564b8676
solver_stress_00007,line_chain,25,-40,1,reversed,3,2,3.9999999999999998e-07,4.0000000000000003e-05,0.0053125000000000004,0.0052062499999999999,0,4.0000000000000002e-09,True,f21c240f4d89b21a626a9838b4135d13265f3dd43af6b325eebd2c2ec80b52d3
solver_stress_00008,line_chain,25,-40,2,canonical,0,2,4.9999999999999998e-08,5.0000000000000004e-06,0.0053125000000000004,0.0052062499999999999,0,1.0000000000000001e-09,True,520ff3d70bbd5b3ad0d3905120c6d1b2b9f25ab5c1ee9ec38b723e5c5ea1a3af
solver_stress_00009,line_chain,25,-40,2,canonical,1,2,9.9999999999999995e-08,1.0000000000000001e-05,0.0053125000000000004,0.0052062499999999999,0,2.0000000000000001e-09,True,eab715eff12c12c338cf908de03d09db63894a80fd748349f5c94fa36d29f0a2
solver_stress_00010,line_chain,25,-40,2,canonical,2,2,1.4999999999999999e-07,1.5000000000000002e-05,0.0053125000000000004,0.0052062499999999999,0,3.0000000000000004e-09,True,9605757969706133919f58744c4d374a9f119b54287dbc61d964d8a7e7cc396b
solver_stress_00011,line_chain,25,-40,2,canonical,3,2,1.9999999999999999e-07,2.0000000000000002e-05,0.0053125000000000004,0.0052062499999999999,0,4.0000000000000002e-09,True,b8c70d951b2105f74415d4cbc4e203952152fafdc7a245d8b54c167b4953204f
solver_stress_00012,line_chain,25,-40,2,reversed,0,2,4.9999999999999998e-08,5.0000000000000004e-06,0.0053125000000000004,0.0052062499999999999,0,1.0000000000000001e-09,True,520ff3d70bbd5b3ad0d3905120c6d1b2b9f25ab5c1ee9ec38b723e5c5ea1a3af
solver_stress_00013,line_chain,25,-40,2,reversed,1,2,9.9999999999999995e-08,1.0000000000000001e-05,0.0053125000000000004,0.0052062499999999999,0,2.0000000000000001e-09,True,eab715eff12c12c338cf908de03d09db63894a80fd748349f5c94fa36d29f0a2
solver_stress_00014,line_chain,25,-40,2,reversed,2,2,1.4999999999999999e-07,1.5000000000000002e-05,0.0053125000000000004,0.0052062499999999999,0,3.0000000000000004e-09,True,9605757969706133919f58744c4d374a9f119b54287dbc61d964d8a7e7cc396b
solver_stress_00015,line_chain,25,-40,2,reversed,3,2,1.9999999999999999e-07,2.0000000000000002e-05,0.0053125000000000004,0.0052062499999999999,0,4.0000000000000002e-09,True,b8c70d951b2105f74415d4cbc4e203952152fafdc7a245d8b54c167b4953204f
solver_stress_00016,line_chain,25,-40,4,canonical,0,2,2.4999999999999999e-08,2.5000000000000002e-06,0.0053125000000000004,0.0052062499999999999,0,1.0000000000000001e-09,True,c52f97490c694a8a615ecb6bde853ed047d9825019bed1aa30c4f7dbe79f0466
solver_stress_00017,line_chain,25,-40,4,canonical,1,2,4.9999999999999998e-08,5.0000000000000004e-06,0.0053125000000000004,0.0052062499999999999,0,2.0000000000000001e-09,True,6c4cae323ed6bb991495756dcda6d7a3346ff756371f128fb0b4c065417ad329
solver_stress_00018,line_chain,25,-40,4,canonical,2,2,7.4999999999999997e-08,7.500000000000001e-06,0.0053125000000000004,0.0052062499999999999,0,3.0000000000000004e-09,True,27201450d858be060df7997c9b6c6616a480c8669f35b9a42a48e4bd74010363
solver_stress_00019,line_chain,25,-40,4,canonical,3,2,9.9999999999999995e-08,1.0000000000000001e-05,0.0053125000000000004,0.0052062499999999999,0,4.0000000000000002e-09,True,5005a138cf769ae933b37c330ba4c7ae1407aab42092001e8b985a33c20356f7
solver_stress_00020,line_chain,25,-40,4,reversed,0,2,2.4999999999999999e-08,2.5000000000000002e-06,0.0053125000000000004,0.0052062499999999999,0,1.0000000000000001e-09,True,c52f97490c694a8a615ecb6bde853ed047d9825019bed1aa30c4f7dbe79f0466
solver_stress_00021,line_chain,25,-40,4,reversed,1,2,4.9999999999999998e-08,5.0000000000000004e-06,0.0053125000000000004,0.0052062499999999999,0,2.0000000000000001e-09,True,6c4cae323ed6bb991495756dcda6d7a3346ff756371f128fb0b4c065417ad329
solver_stress_00022,line_chain,25,-40,4,reversed,2,2,7.4999999999999997e-08,7.500000000000001e-06,0.0053125000000000004,0.0052062499999999999,0,3.0000000000000004e-09,True,27201450d858be060df7997c9b6c6616a480c8669f35b9a42a48e4bd74010363
solver_stress_00023,line_chain,25,-40,4,reversed,3,2,9.9999999999999995e-08,1.0000000000000001e-05,0.0053125000000000004,0.0052062499999999999,0,4.0000000000000002e-09,True,5005a138cf769ae933b37c330ba4c7ae1407aab42092001e8b985a33c20356f7
solver_stress_00024,line_chain,25,0,1,canonical,0,2,9.9999999999999995e-08,1.0000000000000001e-05,0.0053125000000000004,0.0052062499999999999,0,1.0000000000000001e-09,True,e7f37bdbf6d98199d39b762b1c3a0789767cf3c1f6837005c6e0a6e5d42010c0
solver_stress_00025,line_chain,25,0,1,canonical,1,2,1.9999999999999999e-07,2.0000000000000002e-05,0.0053125000000000004,0.0052062499999999999,0,2.0000000000000001e-09,True,3fc42636c4d12ee1b32d5b4ff262e26bd97bd2f55733eb85cc7cf756d7ca26db
solver_stress_00026,line_chain,25,0,1,canonical,2,2,2.9999999999999999e-07,3.0000000000000004e-05,0.0053125000000000004,0.0052062499999999999,0,3.0000000000000004e-09,True,fea455fd565f372cc66dfe8ec4834a4d30c174fd46c131d907475ca74f8e24dc
solver_stress_00027,line_chain,25,0,1,canonical,3,2,3.9999999999999998e-07,4.0000000000000003e-05,0.0053125000000000004,0.0052062499999999999,0,4.0000000000000002e-09,True,bd1ecd062625108467de61744509691eceef7fb2d51ca19ca6108a27b7a76a04
solver_stress_00028,line_chain,25,0,1,reversed,0,2,9.9999999999999995e-08,1.0000000000000001e-05,0.0053125000000000004,0.0052062499999999999,0,1.0000000000000001e-09,True,e7f37bdbf6d98199d39b762b1c3a0789767cf3c1f6837005c6e0a6e5d42010c0
solver_stress_00029,line_chain,25,0,1,reversed,1,2,1.9999999999999999e-07,2.0000000000000002e-05,0.0053125000000000004,0.0052062499999999999,0,2.0000000000000001e-09,True,3fc42636c4d12ee1b32d5b4ff262e26bd97bd2f55733eb85cc7cf756d7ca26db
solver_stress_00030,line_chain,25,0,1,reversed,2,2,2.9999999999999999e-07,3.0000000000000004e-05,0.0053125000000000004,0.0052062499999999999,0,3.0000000000000004e-09,True,fea455fd565f372cc66dfe8ec4834a4d30c174fd46c131d907475ca74f8e24dc
solver_stress_00031,line_chain,25,0,1,reversed,3,2,3.9999999999999998e-07,4.0000000000000003e-05,0.0053125000000000004,0.0052062499999999999,0,4.0000000000000002e-09,True,bd1ecd062625108467de61744509691eceef7fb2d51ca19ca6108a27b7a76a04
