case_id,pocket_kind,normalized_offset,offset_cm,angle_deg,speed_cm_s,topspin_rad_s,sidespin_rad_s,jaw_side,mouth_width_cm,throat_width_cm,jaw_radius_cm,throat_depth_cm,capture_depth_cm,ball_radius_cm,mouth_passable,throat_passable,expected_outcome,mirror_key
pocket_scan_00000,corner,-1.2,-4.4909999999999997,-30,25,0,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|25|0|0|1
pocket_scan_00001,corner,-1.2,-4.4909999999999997,-30,25,0,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|25|0|0|1
pocket_scan_00002,corner,-1.2,-4.4909999999999997,-30,25,20,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|25|20|0|1
pocket_scan_00003,corner,-1.2,-4.4909999999999997,-30,25,20,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|25|20|0|1
pocket_scan_00004,corner,-1.2,-4.4909999999999997,-30,25,-20,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|25|-20|0|1
pocket_scan_00005,corner,-1.2,-4.4909999999999997,-30,25,-20,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|25|-20|0|1
pocket_scan_00006,corner,-1.2,-4.4909999999999997,-30,25,0,20,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|25|0|20|1
pocket_scan_00007,corner,-1.2,-4.4909999999999997,-30,25,0,20,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|25|0|20|1
pocket_scan_00008,corner,-1.2,-4.4909999999999997,-30,25,0,-20,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|25|0|20|1
pocket_scan_00009,corner,-1.2,-4.4909999999999997,-30,25,0,-20,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|25|0|20|1
pocket_scan_00010,corner,-1.2,-4.4909999999999997,-30,100,0,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|100|0|0|1
pocket_scan_00011,corner,-1.2,-4.4909999999999997,-30,100,0,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|100|0|0|1
pocket_scan_00012,corner,-1.2,-4.4909999999999997,-30,100,20,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|100|20|0|1
pocket_scan_00013,corner,-1.2,-4.4909999999999997,-30,100,20,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|100|20|0|1
pocket_scan_00014,corner,-1.2,-4.4909999999999997,-30,100,-20,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|100|-20|0|1
pocket_scan_00015,corner,-1.2,-4.4909999999999997,-30,100,-20,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|100|-20|0|1
pocket_scan_00016,corner,-1.2,-4.4909999999999997,-30,100,0,20,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|100|0|20|1
pocket_scan_00017,corner,-1.2,-4.4909999999999997,-30,100,0,20,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|100|0|20|1
pocket_scan_00018,corner,-1.2,-4.4909999999999997,-30,100,0,-20,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|100|0|20|1
pocket_scan_00019,corner,-1.2,-4.4909999999999997,-30,100,0,-20,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|100|0|20|1
pocket_scan_00020,corner,-1.2,-4.4909999999999997,-30,250,0,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|250|0|0|1
pocket_scan_00021,corner,-1.2,-4.4909999999999997,-30,250,0,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|250|0|0|1
pocket_scan_00022,corner,-1.2,-4.4909999999999997,-30,250,20,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|250|20|0|1
pocket_scan_00023,corner,-1.2,-4.4909999999999997,-30,250,20,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|250|20|0|1
pocket_scan_00024,corner,-1.2,-4.4909999999999997,-30,250,-20,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|250|-20|0|1
pocket_scan_00025,corner,-1.2,-4.4909999999999997,-30,250,-20,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|250|-20|0|1
